entity_id,type,debit,credit,amount,fee,tax,on_hold,settled,created_at,settled_at,settlement_id,payment_id,arn,method,description
pay_90013,payment,0.00,25000.00,25000.00,500.00,90.00,false,true,2026-08-03T10:00:00+00:00,2026-08-03T10:00:00+00:00,setl_8800,pay_90013,,card,Settlement line for pay_90013
pay_90014,payment,0.00,500.00,500.00,0.00,0.00,false,true,2026-08-03T10:00:00+00:00,2026-08-03T10:00:00+00:00,setl_8800,pay_90014,,card,Settlement line for pay_90014
pay_90015,payment,0.00,1200.00,1200.00,24.00,4.32,false,true,2026-08-03T10:00:00+00:00,2026-08-03T10:00:00+00:00,setl_8800,pay_90015,,card,Settlement line for pay_90015
rfnd_3026,refund,72000.00,0.00,72000.00,0.00,0.00,false,true,2026-08-03T10:00:00+00:00,2026-08-03T10:00:00+00:00,setl_8800,pay_90006,24022851823953659131887,card,Settlement line for rfnd_3026
disp_5003,dispute,50000.00,0.00,50000.00,0.00,0.00,false,true,2026-08-03T10:00:00+00:00,2026-08-03T10:00:00+00:00,setl_8800,,,card,Settlement line for disp_5003
disp_5005,dispute,500.00,0.00,500.00,0.00,0.00,false,true,2026-08-03T10:00:00+00:00,2026-08-03T10:00:00+00:00,setl_8800,,,card,Settlement line for disp_5005
pay_90016,payment,0.00,500.00,500.00,0.00,0.00,false,true,2026-08-04T10:00:00+00:00,2026-08-04T10:00:00+00:00,setl_8801,pay_90016,,card,Settlement line for pay_90016
pay_90017,payment,0.00,7500.00,7500.00,150.00,27.00,false,true,2026-08-04T10:00:00+00:00,2026-08-04T10:00:00+00:00,setl_8801,pay_90017,,card,Settlement line for pay_90017
pay_90018,payment,0.00,7500.00,7500.00,150.00,27.00,false,true,2026-08-04T10:00:00+00:00,2026-08-04T10:00:00+00:00,setl_8801,pay_90018,,card,Settlement line for pay_90018
pay_90019,payment,0.00,12000.00,12000.00,216.00,38.88,false,true,2026-08-04T10:00:00+00:00,2026-08-04T10:00:00+00:00,setl_8801,pay_90019,,card,Settlement line for pay_90019
pay_90020,payment,0.00,12000.00,12000.00,240.00,43.20,false,true,2026-08-04T10:00:00+00:00,2026-08-04T10:00:00+00:00,setl_8801,pay_90020,,card,Settlement line for pay_90020
pay_90021,payment,0.00,4999.00,4999.00,99.98,18.00,false,true,2026-08-04T10:00:00+00:00,2026-08-04T10:00:00+00:00,setl_8801,pay_90021,,card,Settlement line for pay_90021
pay_90022,payment,0.00,50000.00,50000.00,1000.00,180.00,false,true,2026-08-04T10:00:00+00:00,2026-08-04T10:00:00+00:00,setl_8801,pay_90022,,card,Settlement line for pay_90022
pay_90023,payment,0.00,4999.00,4999.00,99.98,18.00,false,true,2026-08-04T10:00:00+00:00,2026-08-04T10:00:00+00:00,setl_8801,pay_90023,,card,Settlement line for pay_90023
pay_90024,payment,0.00,50000.00,50000.00,1000.00,180.00,false,true,2026-08-04T10:00:00+00:00,2026-08-04T10:00:00+00:00,setl_8801,pay_90024,,card,Settlement line for pay_90024
pay_90025,payment,0.00,4999.00,4999.00,0.00,0.00,false,true,2026-08-04T10:00:00+00:00,2026-08-04T10:00:00+00:00,setl_8801,pay_90025,,card,Settlement line for pay_90025
pay_90026,payment,0.00,4999.00,4999.00,89.98,16.20,false,true,2026-08-04T10:00:00+00:00,2026-08-04T10:00:00+00:00,setl_8801,pay_90026,,card,Settlement line for pay_90026
pay_90027,payment,0.00,4999.00,4999.00,99.98,18.00,false,true,2026-08-04T10:00:00+00:00,2026-08-04T10:00:00+00:00,setl_8801,pay_90027,,card,Settlement line for pay_90027
pay_90028,payment,0.00,25000.00,25000.00,500.00,90.00,false,true,2026-08-04T10:00:00+00:00,2026-08-04T10:00:00+00:00,setl_8801,pay_90028,,card,Settlement line for pay_90028
pay_90029,payment,0.00,50000.00,50000.00,1000.00,180.00,false,true,2026-08-04T10:00:00+00:00,2026-08-04T10:00:00+00:00,setl_8801,pay_90029,,card,Settlement line for pay_90029
pay_90030,payment,0.00,4999.00,4999.00,99.98,18.00,false,true,2026-08-04T10:00:00+00:00,2026-08-04T10:00:00+00:00,setl_8801,pay_90030,,card,Settlement line for pay_90030
pay_90031,payment,0.00,4999.00,4999.00,0.00,0.00,false,true,2026-08-04T10:00:00+00:00,2026-08-04T10:00:00+00:00,setl_8801,pay_90031,,card,Settlement line for pay_90031
rfnd_3001,refund,500.00,0.00,500.00,0.00,0.00,false,true,2026-08-04T10:00:00+00:00,2026-08-04T10:00:00+00:00,setl_8801,pay_90016,24022820628599122800129,card,Settlement line for rfnd_3001
rfnd_3019,refund,2499.50,0.00,2499.50,0.00,0.00,false,true,2026-08-04T10:00:00+00:00,2026-08-04T10:00:00+00:00,setl_8801,pay_90031,24022868524103490637639,card,Settlement line for rfnd_3019
rfnd_3036,refund,25000.00,0.00,25000.00,0.00,0.00,false,true,2026-08-04T10:00:00+00:00,2026-08-04T10:00:00+00:00,setl_8801,pay_90022,24022862714112433387519,card,Settlement line for rfnd_3036
pay_90032,payment,0.00,1200.00,1200.00,0.00,0.00,false,true,2026-08-05T10:00:00+00:00,2026-08-05T10:00:00+00:00,setl_8802,pay_90032,,card,Settlement line for pay_90032
pay_90033,payment,0.00,4999.00,4999.00,99.98,18.00,false,true,2026-08-05T10:00:00+00:00,2026-08-05T10:00:00+00:00,setl_8802,pay_90033,,card,Settlement line for pay_90033
pay_90034,payment,0.00,25000.00,25000.00,500.00,90.00,false,true,2026-08-05T10:00:00+00:00,2026-08-05T10:00:00+00:00,setl_8802,pay_90034,,card,Settlement line for pay_90034
pay_90035,payment,0.00,50000.00,50000.00,1000.00,180.00,false,true,2026-08-05T10:00:00+00:00,2026-08-05T10:00:00+00:00,setl_8802,pay_90035,,card,Settlement line for pay_90035
pay_90036,payment,0.00,500.00,500.00,10.00,1.80,false,true,2026-08-05T10:00:00+00:00,2026-08-05T10:00:00+00:00,setl_8802,pay_90036,,card,Settlement line for pay_90036
pay_90037,payment,0.00,1200.00,1200.00,24.00,4.32,false,true,2026-08-05T10:00:00+00:00,2026-08-05T10:00:00+00:00,setl_8802,pay_90037,,card,Settlement line for pay_90037
pay_90038,payment,0.00,4999.00,4999.00,0.00,0.00,false,true,2026-08-05T10:00:00+00:00,2026-08-05T10:00:00+00:00,setl_8802,pay_90038,,card,Settlement line for pay_90038
pay_90039,payment,0.00,72000.00,72000.00,1440.00,259.20,false,true,2026-08-05T10:00:00+00:00,2026-08-05T10:00:00+00:00,setl_8802,pay_90039,,card,Settlement line for pay_90039
pay_90040,payment,0.00,25000.00,25000.00,500.00,90.00,false,true,2026-08-05T10:00:00+00:00,2026-08-05T10:00:00+00:00,setl_8802,pay_90040,,card,Settlement line for pay_90040
pay_90041,payment,0.00,1200.00,1200.00,24.00,4.32,false,true,2026-08-05T10:00:00+00:00,2026-08-05T10:00:00+00:00,setl_8802,pay_90041,,card,Settlement line for pay_90041
pay_90042,payment,0.00,4999.00,4999.00,99.98,18.00,false,true,2026-08-05T10:00:00+00:00,2026-08-05T10:00:00+00:00,setl_8802,pay_90042,,card,Settlement line for pay_90042
pay_90043,payment,0.00,7500.00,7500.00,135.00,24.30,false,true,2026-08-05T10:00:00+00:00,2026-08-05T10:00:00+00:00,setl_8802,pay_90043,,card,Settlement line for pay_90043
pay_90044,payment,0.00,1200.00,1200.00,24.00,4.32,false,true,2026-08-05T10:00:00+00:00,2026-08-05T10:00:00+00:00,setl_8802,pay_90044,,card,Settlement line for pay_90044
pay_90045,payment,0.00,7500.00,7500.00,150.00,27.00,false,true,2026-08-05T10:00:00+00:00,2026-08-05T10:00:00+00:00,setl_8802,pay_90045,,card,Settlement line for pay_90045
pay_90046,payment,0.00,500.00,500.00,0.00,0.00,false,true,2026-08-05T10:00:00+00:00,2026-08-05T10:00:00+00:00,setl_8802,pay_90046,,card,Settlement line for pay_90046
pay_90047,payment,0.00,2500.00,2500.00,0.00,0.00,false,true,2026-08-05T10:00:00+00:00,2026-08-05T10:00:00+00:00,setl_8802,pay_90047,,card,Settlement line for pay_90047
rfnd_3008,refund,25000.00,0.00,25000.00,0.00,0.00,false,true,2026-08-05T10:00:00+00:00,2026-08-05T10:00:00+00:00,setl_8802,pay_90040,24022846116028143446441,card,Settlement line for rfnd_3008
rfnd_3014,refund,600.00,0.00,600.00,0.00,0.00,false,true,2026-08-05T10:00:00+00:00,2026-08-05T10:00:00+00:00,setl_8802,pay_90044,24022821705443860839483,card,Settlement line for rfnd_3014
rfnd_3022,refund,50000.00,0.00,50000.00,0.00,0.00,false,true,2026-08-05T10:00:00+00:00,2026-08-05T10:00:00+00:00,setl_8802,pay_90035,24022855047885360232613,card,Settlement line for rfnd_3022
rfnd_3034,refund,2499.50,0.00,2499.50,0.00,0.00,false,true,2026-08-05T10:00:00+00:00,2026-08-05T10:00:00+00:00,setl_8802,pay_90033,24022851180681031147840,card,Settlement line for rfnd_3034
pay_90048,payment,0.00,500.00,500.00,9.00,1.62,false,true,2026-08-06T10:00:00+00:00,2026-08-06T10:00:00+00:00,setl_8803,pay_90048,,card,Settlement line for pay_90048
pay_90049,payment,0.00,500.00,500.00,10.00,1.80,false,true,2026-08-06T10:00:00+00:00,2026-08-06T10:00:00+00:00,setl_8803,pay_90049,,card,Settlement line for pay_90049
pay_90050,payment,0.00,500.00,500.00,0.00,0.00,false,true,2026-08-06T10:00:00+00:00,2026-08-06T10:00:00+00:00,setl_8803,pay_90050,,card,Settlement line for pay_90050
pay_90051,payment,0.00,12000.00,12000.00,216.00,38.88,false,true,2026-08-06T10:00:00+00:00,2026-08-06T10:00:00+00:00,setl_8803,pay_90051,,card,Settlement line for pay_90051
pay_90052,payment,0.00,2500.00,2500.00,50.00,9.00,false,true,2026-08-06T10:00:00+00:00,2026-08-06T10:00:00+00:00,setl_8803,pay_90052,,card,Settlement line for pay_90052
pay_90053,payment,0.00,7500.00,7500.00,150.00,27.00,false,true,2026-08-06T10:00:00+00:00,2026-08-06T10:00:00+00:00,setl_8803,pay_90053,,card,Settlement line for pay_90053
pay_90054,payment,0.00,50000.00,50000.00,0.00,0.00,false,true,2026-08-06T10:00:00+00:00,2026-08-06T10:00:00+00:00,setl_8803,pay_90054,,card,Settlement line for pay_90054
pay_90055,payment,0.00,4999.00,4999.00,99.98,18.00,false,true,2026-08-06T10:00:00+00:00,2026-08-06T10:00:00+00:00,setl_8803,pay_90055,,card,Settlement line for pay_90055
pay_90056,payment,0.00,72000.00,72000.00,1440.00,259.20,false,true,2026-08-06T10:00:00+00:00,2026-08-06T10:00:00+00:00,setl_8803,pay_90056,,card,Settlement line for pay_90056
pay_90057,payment,0.00,7500.00,7500.00,150.00,27.00,false,true,2026-08-06T10:00:00+00:00,2026-08-06T10:00:00+00:00,setl_8803,pay_90057,,card,Settlement line for pay_90057
pay_90058,payment,0.00,72000.00,72000.00,1296.00,233.28,false,true,2026-08-06T10:00:00+00:00,2026-08-06T10:00:00+00:00,setl_8803,pay_90058,,card,Settlement line for pay_90058
pay_90059,payment,0.00,500.00,500.00,10.00,1.80,false,true,2026-08-06T10:00:00+00:00,2026-08-06T10:00:00+00:00,setl_8803,pay_90059,,card,Settlement line for pay_90059
pay_90060,payment,0.00,1200.00,1200.00,0.00,0.00,false,true,2026-08-06T10:00:00+00:00,2026-08-06T10:00:00+00:00,setl_8803,pay_90060,,card,Settlement line for pay_90060
pay_90061,payment,0.00,7500.00,7500.00,0.00,0.00,false,true,2026-08-06T10:00:00+00:00,2026-08-06T10:00:00+00:00,setl_8803,pay_90061,,card,Settlement line for pay_90061
pay_90062,payment,0.00,25000.00,25000.00,500.00,90.00,false,true,2026-08-06T10:00:00+00:00,2026-08-06T10:00:00+00:00,setl_8803,pay_90062,,card,Settlement line for pay_90062
pay_90063,payment,0.00,7500.00,7500.00,0.00,0.00,false,true,2026-08-06T10:00:00+00:00,2026-08-06T10:00:00+00:00,setl_8803,pay_90063,,card,Settlement line for pay_90063
rfnd_3018,refund,7500.00,0.00,7500.00,0.00,0.00,false,true,2026-08-06T10:00:00+00:00,2026-08-06T10:00:00+00:00,setl_8803,pay_90057,24022879599684336159293,card,Settlement line for rfnd_3018
rfnd_3020,refund,12000.00,0.00,12000.00,0.00,0.00,false,true,2026-08-06T10:00:00+00:00,2026-08-06T10:00:00+00:00,setl_8803,pay_90051,24022818634377576184481,card,Settlement line for rfnd_3020
rfnd_3023,refund,1200.00,0.00,1200.00,0.00,0.00,false,true,2026-08-06T10:00:00+00:00,2026-08-06T10:00:00+00:00,setl_8803,pay_90060,24022828845386199419572,card,Settlement line for rfnd_3023
disp_5008,dispute,500.00,0.00,500.00,0.00,0.00,false,true,2026-08-06T10:00:00+00:00,2026-08-06T10:00:00+00:00,setl_8803,,,card,Settlement line for disp_5008
pay_90064,payment,0.00,7500.00,7500.00,0.00,0.00,false,true,2026-08-07T10:00:00+00:00,2026-08-07T10:00:00+00:00,setl_8804,pay_90064,,card,Settlement line for pay_90064
pay_90065,payment,0.00,12000.00,12000.00,240.00,43.20,false,true,2026-08-07T10:00:00+00:00,2026-08-07T10:00:00+00:00,setl_8804,pay_90065,,card,Settlement line for pay_90065
pay_90066,payment,0.00,1200.00,1200.00,0.00,0.00,false,true,2026-08-07T10:00:00+00:00,2026-08-07T10:00:00+00:00,setl_8804,pay_90066,,card,Settlement line for pay_90066
pay_90067,payment,0.00,12000.00,12000.00,0.00,0.00,false,true,2026-08-07T10:00:00+00:00,2026-08-07T10:00:00+00:00,setl_8804,pay_90067,,card,Settlement line for pay_90067
pay_90068,payment,0.00,4999.00,4999.00,99.98,18.00,false,true,2026-08-07T10:00:00+00:00,2026-08-07T10:00:00+00:00,setl_8804,pay_90068,,card,Settlement line for pay_90068
pay_90069,payment,0.00,4999.00,4999.00,99.98,18.00,false,true,2026-08-07T10:00:00+00:00,2026-08-07T10:00:00+00:00,setl_8804,pay_90069,,card,Settlement line for pay_90069
pay_90070,payment,0.00,25000.00,25000.00,0.00,0.00,false,true,2026-08-07T10:00:00+00:00,2026-08-07T10:00:00+00:00,setl_8804,pay_90070,,card,Settlement line for pay_90070
pay_90071,payment,0.00,50000.00,50000.00,1000.00,180.00,false,true,2026-08-07T10:00:00+00:00,2026-08-07T10:00:00+00:00,setl_8804,pay_90071,,card,Settlement line for pay_90071
pay_90072,payment,0.00,72000.00,72000.00,1296.00,233.28,false,true,2026-08-07T10:00:00+00:00,2026-08-07T10:00:00+00:00,setl_8804,pay_90072,,card,Settlement line for pay_90072
pay_90073,payment,0.00,72000.00,72000.00,1440.00,259.20,false,true,2026-08-07T10:00:00+00:00,2026-08-07T10:00:00+00:00,setl_8804,pay_90073,,card,Settlement line for pay_90073
pay_90074,payment,0.00,4999.00,4999.00,0.00,0.00,false,true,2026-08-07T10:00:00+00:00,2026-08-07T10:00:00+00:00,setl_8804,pay_90074,,card,Settlement line for pay_90074
pay_90075,payment,0.00,50000.00,50000.00,1000.00,180.00,false,true,2026-08-07T10:00:00+00:00,2026-08-07T10:00:00+00:00,setl_8804,pay_90075,,card,Settlement line for pay_90075
pay_90076,payment,0.00,12000.00,12000.00,240.00,43.20,false,true,2026-08-07T10:00:00+00:00,2026-08-07T10:00:00+00:00,setl_8804,pay_90076,,card,Settlement line for pay_90076
pay_90077,payment,0.00,4999.00,4999.00,99.98,18.00,false,true,2026-08-07T10:00:00+00:00,2026-08-07T10:00:00+00:00,setl_8804,pay_90077,,card,Settlement line for pay_90077
pay_90078,payment,0.00,4999.00,4999.00,89.98,16.20,false,true,2026-08-07T10:00:00+00:00,2026-08-07T10:00:00+00:00,setl_8804,pay_90078,,card,Settlement line for pay_90078
pay_90079,payment,0.00,25000.00,25000.00,450.00,81.00,false,true,2026-08-07T10:00:00+00:00,2026-08-07T10:00:00+00:00,setl_8804,pay_90079,,card,Settlement line for pay_90079
rfnd_3004,refund,2499.50,0.00,2499.50,0.00,0.00,false,true,2026-08-07T10:00:00+00:00,2026-08-07T10:00:00+00:00,setl_8804,pay_90074,24022889451198905601980,card,Settlement line for rfnd_3004
rfnd_3006,refund,6000.00,0.00,6000.00,0.00,0.00,false,true,2026-08-07T10:00:00+00:00,2026-08-07T10:00:00+00:00,setl_8804,pay_90076,24022884666383476590072,card,Settlement line for rfnd_3006
pay_90080,payment,0.00,25000.00,25000.00,0.00,0.00,false,true,2026-08-08T10:00:00+00:00,2026-08-08T10:00:00+00:00,setl_8805,pay_90080,,card,Settlement line for pay_90080
pay_90081,payment,0.00,50000.00,50000.00,1000.00,180.00,false,true,2026-08-08T10:00:00+00:00,2026-08-08T10:00:00+00:00,setl_8805,pay_90081,,card,Settlement line for pay_90081
pay_90082,payment,0.00,2500.00,2500.00,45.00,8.10,false,true,2026-08-08T10:00:00+00:00,2026-08-08T10:00:00+00:00,setl_8805,pay_90082,,card,Settlement line for pay_90082
pay_90083,payment,0.00,500.00,500.00,10.00,1.80,false,true,2026-08-08T10:00:00+00:00,2026-08-08T10:00:00+00:00,setl_8805,pay_90083,,card,Settlement line for pay_90083
pay_90084,payment,0.00,25000.00,25000.00,500.00,90.00,false,true,2026-08-08T10:00:00+00:00,2026-08-08T10:00:00+00:00,setl_8805,pay_90084,,card,Settlement line for pay_90084
pay_90085,payment,0.00,7500.00,7500.00,150.00,27.00,false,true,2026-08-08T10:00:00+00:00,2026-08-08T10:00:00+00:00,setl_8805,pay_90085,,card,Settlement line for pay_90085
pay_90086,payment,0.00,1200.00,1200.00,0.00,0.00,false,true,2026-08-08T10:00:00+00:00,2026-08-08T10:00:00+00:00,setl_8805,pay_90086,,card,Settlement line for pay_90086
pay_90087,payment,0.00,4999.00,4999.00,99.98,18.00,false,true,2026-08-08T10:00:00+00:00,2026-08-08T10:00:00+00:00,setl_8805,pay_90087,,card,Settlement line for pay_90087
pay_90088,payment,0.00,7500.00,7500.00,0.00,0.00,false,true,2026-08-08T10:00:00+00:00,2026-08-08T10:00:00+00:00,setl_8805,pay_90088,,card,Settlement line for pay_90088
pay_90089,payment,0.00,2500.00,2500.00,50.00,9.00,false,true,2026-08-08T10:00:00+00:00,2026-08-08T10:00:00+00:00,setl_8805,pay_90089,,card,Settlement line for pay_90089
pay_90090,payment,0.00,1200.00,1200.00,24.00,4.32,false,true,2026-08-08T10:00:00+00:00,2026-08-08T10:00:00+00:00,setl_8805,pay_90090,,card,Settlement line for pay_90090
pay_90091,payment,0.00,72000.00,72000.00,1440.00,259.20,false,true,2026-08-08T10:00:00+00:00,2026-08-08T10:00:00+00:00,setl_8805,pay_90091,,card,Settlement line for pay_90091
pay_90092,payment,0.00,50000.00,50000.00,900.00,162.00,false,true,2026-08-08T10:00:00+00:00,2026-08-08T10:00:00+00:00,setl_8805,pay_90092,,card,Settlement line for pay_90092
pay_90093,payment,0.00,25000.00,25000.00,450.00,81.00,false,true,2026-08-08T10:00:00+00:00,2026-08-08T10:00:00+00:00,setl_8805,pay_90093,,card,Settlement line for pay_90093
pay_90094,payment,0.00,72000.00,72000.00,1440.00,259.20,false,true,2026-08-08T10:00:00+00:00,2026-08-08T10:00:00+00:00,setl_8805,pay_90094,,card,Settlement line for pay_90094
pay_90095,payment,0.00,1200.00,1200.00,24.00,4.32,false,true,2026-08-08T10:00:00+00:00,2026-08-08T10:00:00+00:00,setl_8805,pay_90095,,card,Settlement line for pay_90095
rfnd_3016,refund,50000.00,0.00,50000.00,0.00,0.00,false,true,2026-08-08T10:00:00+00:00,2026-08-08T10:00:00+00:00,setl_8805,pay_90092,24022892453660161240259,card,Settlement line for rfnd_3016
rfnd_3030,refund,36000.00,0.00,36000.00,0.00,0.00,false,true,2026-08-08T10:00:00+00:00,2026-08-08T10:00:00+00:00,setl_8805,pay_90094,24022881878848093958686,card,Settlement line for rfnd_3030
disp_5011,dispute,1200.00,0.00,1200.00,0.00,0.00,false,true,2026-08-08T10:00:00+00:00,2026-08-08T10:00:00+00:00,setl_8805,,,card,Settlement line for disp_5011
pay_90096,payment,0.00,50000.00,50000.00,1000.00,180.00,false,true,2026-08-09T10:00:00+00:00,2026-08-09T10:00:00+00:00,setl_8806,pay_90096,,card,Settlement line for pay_90096
pay_90097,payment,0.00,7500.00,7500.00,150.00,27.00,false,true,2026-08-09T10:00:00+00:00,2026-08-09T10:00:00+00:00,setl_8806,pay_90097,,card,Settlement line for pay_90097
pay_90098,payment,0.00,50000.00,50000.00,0.00,0.00,false,true,2026-08-09T10:00:00+00:00,2026-08-09T10:00:00+00:00,setl_8806,pay_90098,,card,Settlement line for pay_90098
pay_90099,payment,0.00,50000.00,50000.00,1000.00,180.00,false,true,2026-08-09T10:00:00+00:00,2026-08-09T10:00:00+00:00,setl_8806,pay_90099,,card,Settlement line for pay_90099
pay_90100,payment,0.00,12000.00,12000.00,240.00,43.20,false,true,2026-08-09T10:00:00+00:00,2026-08-09T10:00:00+00:00,setl_8806,pay_90100,,card,Settlement line for pay_90100
pay_90101,payment,0.00,7500.00,7500.00,150.00,27.00,false,true,2026-08-09T10:00:00+00:00,2026-08-09T10:00:00+00:00,setl_8806,pay_90101,,card,Settlement line for pay_90101
pay_90102,payment,0.00,72000.00,72000.00,1440.00,259.20,false,true,2026-08-09T10:00:00+00:00,2026-08-09T10:00:00+00:00,setl_8806,pay_90102,,card,Settlement line for pay_90102
pay_90103,payment,0.00,72000.00,72000.00,1296.00,233.28,false,true,2026-08-09T10:00:00+00:00,2026-08-09T10:00:00+00:00,setl_8806,pay_90103,,card,Settlement line for pay_90103
pay_90104,payment,0.00,4999.00,4999.00,99.98,18.00,false,true,2026-08-09T10:00:00+00:00,2026-08-09T10:00:00+00:00,setl_8806,pay_90104,,card,Settlement line for pay_90104
pay_90105,payment,0.00,500.00,500.00,10.00,1.80,false,true,2026-08-09T10:00:00+00:00,2026-08-09T10:00:00+00:00,setl_8806,pay_90105,,card,Settlement line for pay_90105
pay_90106,payment,0.00,7500.00,7500.00,150.00,27.00,false,true,2026-08-09T10:00:00+00:00,2026-08-09T10:00:00+00:00,setl_8806,pay_90106,,card,Settlement line for pay_90106
pay_90107,payment,0.00,1200.00,1200.00,24.00,4.32,false,true,2026-08-09T10:00:00+00:00,2026-08-09T10:00:00+00:00,setl_8806,pay_90107,,card,Settlement line for pay_90107
pay_90108,payment,0.00,7500.00,7500.00,150.00,27.00,false,true,2026-08-09T10:00:00+00:00,2026-08-09T10:00:00+00:00,setl_8806,pay_90108,,card,Settlement line for pay_90108
pay_90109,payment,0.00,50000.00,50000.00,1000.00,180.00,false,true,2026-08-09T10:00:00+00:00,2026-08-09T10:00:00+00:00,setl_8806,pay_90109,,card,Settlement line for pay_90109
pay_90110,payment,0.00,4999.00,4999.00,99.98,18.00,false,true,2026-08-09T10:00:00+00:00,2026-08-09T10:00:00+00:00,setl_8806,pay_90110,,card,Settlement line for pay_90110
pay_90111,payment,0.00,25000.00,25000.00,500.00,90.00,false,true,2026-08-09T10:00:00+00:00,2026-08-09T10:00:00+00:00,setl_8806,pay_90111,,card,Settlement line for pay_90111
disp_5002,dispute,7500.00,0.00,7500.00,0.00,0.00,false,true,2026-08-09T10:00:00+00:00,2026-08-09T10:00:00+00:00,setl_8806,,,card,Settlement line for disp_5002
disp_5009,dispute,1200.00,0.00,1200.00,0.00,0.00,false,true,2026-08-09T10:00:00+00:00,2026-08-09T10:00:00+00:00,setl_8806,,,card,Settlement line for disp_5009
pay_90112,payment,0.00,1200.00,1200.00,21.60,3.89,false,true,2026-08-10T10:00:00+00:00,2026-08-10T10:00:00+00:00,setl_8807,pay_90112,,card,Settlement line for pay_90112
pay_90113,payment,0.00,1200.00,1200.00,0.00,0.00,false,true,2026-08-10T10:00:00+00:00,2026-08-10T10:00:00+00:00,setl_8807,pay_90113,,card,Settlement line for pay_90113
pay_90114,payment,0.00,2500.00,2500.00,50.00,9.00,false,true,2026-08-10T10:00:00+00:00,2026-08-10T10:00:00+00:00,setl_8807,pay_90114,,card,Settlement line for pay_90114
pay_90115,payment,0.00,50000.00,50000.00,0.00,0.00,false,true,2026-08-10T10:00:00+00:00,2026-08-10T10:00:00+00:00,setl_8807,pay_90115,,card,Settlement line for pay_90115
pay_90116,payment,0.00,72000.00,72000.00,1440.00,259.20,false,true,2026-08-10T10:00:00+00:00,2026-08-10T10:00:00+00:00,setl_8807,pay_90116,,card,Settlement line for pay_90116
pay_90117,payment,0.00,7500.00,7500.00,150.00,27.00,false,true,2026-08-10T10:00:00+00:00,2026-08-10T10:00:00+00:00,setl_8807,pay_90117,,card,Settlement line for pay_90117
pay_90118,payment,0.00,500.00,500.00,10.00,1.80,false,true,2026-08-10T10:00:00+00:00,2026-08-10T10:00:00+00:00,setl_8807,pay_90118,,card,Settlement line for pay_90118
pay_90119,payment,0.00,25000.00,25000.00,450.00,81.00,false,true,2026-08-10T10:00:00+00:00,2026-08-10T10:00:00+00:00,setl_8807,pay_90119,,card,Settlement line for pay_90119
pay_90120,payment,0.00,25000.00,25000.00,0.00,0.00,false,true,2026-08-10T10:00:00+00:00,2026-08-10T10:00:00+00:00,setl_8807,pay_90120,,card,Settlement line for pay_90120
pay_90121,payment,0.00,12000.00,12000.00,240.00,43.20,false,true,2026-08-10T10:00:00+00:00,2026-08-10T10:00:00+00:00,setl_8807,pay_90121,,card,Settlement line for pay_90121
